index,birga_x,valin_x,valout_x,direction_x,rates_x,volume_x,Com_x,birga_y,valin_y,valout_y,direction_y,rates_y,volume_y,Com_y,Bal1,Bal2,volume,Vol1,Vol2,Vol3,Vol4,profit,percent
38,hot,USDT,PZM,buy,0.02,8817.65,0.06,hot,PZM,USDT,sell,0.01955054,2308.4600000000005,0.06,51950.4558590924,19469.8532381,2308.46,46.19690152,2308.46,2308.46,45.1045605847,-1.092340935299994,-2.3645329001709943
39,hot,USDT,PZM,buy,0.02,8817.65,0.06,hot,PZM,USDT,sell,0.01955,3762.590000000001,0.06,51950.4558590924,19469.8532381,3762.59,75.29695108,3762.59,3762.59,73.5144993193,-1.782451760699999,-2.3672296622026767
40,hot,USDT,PZM,buy,0.02,8817.65,0.06,hot,PZM,USDT,sell,0.0195,3962.590000000001,0.06,51950.4558590924,19469.8532381,3962.59,79.29935108,3962.59,3962.59,77.224142697,-2.075208382999989,-2.6169298420947293
41,hot,USDT,PZM,buy,0.02001904,9078.36,0.06,hot,PZM,USDT,sell,0.01962658,2050.3,0.06,51901.046063240196,19469.8532381,2050.3,41.0696647346,2050.3,2050.3,40.2162327478,-0.853431986800004,-2.078010600561373
42,hot,USDT,PZM,buy,0.02001904,9078.36,0.06,hot,PZM,USDT,sell,0.0196265,2308.350000000001,0.06,51901.046063240196,19469.8532381,2308.35,46.2386775546,2308.35,2308.35,45.2776483762,-0.961029178400004,-2.0784097409905207
43,hot,USDT,PZM,buy,0.02001904,9078.36,0.06,hot,PZM,USDT,sell,0.01955054,2308.4600000000005,0.06,51901.046063240196,19469.8532381,2308.46,46.2408809702,2308.46,2308.46,45.1045605847,-1.1363203854999995,-2.4573934614963386
44,hot,USDT,PZM,buy,0.02001904,9078.36,0.06,hot,PZM,USDT,sell,0.01955,3762.590000000001,0.06,51901.046063240196,19469.8532381,3762.59,75.36863377739999,3762.59,3762.59,73.5144993193,-1.8541344580999919,-2.4600876587150924
45,hot,USDT,PZM,buy,0.02001904,9078.36,0.06,hot,PZM,USDT,sell,0.0195,3962.590000000001,0.06,51901.046063240196,19469.8532381,3962.59,79.3748440622,3962.59,3962.59,77.224142697,-2.1507013651999927,-2.7095503501268645
46,live,USD,PZM,buy,0.01991,200.0,0.18,alfa,PZM,USD,sell,0.0197,67826.64946802,0.2,676.0833181489704,13015.23511546,200.0,3.9891676,200.0,200.0,3.93212,-0.0570476000000002,-1.430062752941245
47,live,USD,PZM,buy,0.01991,200.0,0.18,alfa,PZM,USD,sell,0.0196,76296.03717617999,0.2,676.0833181489704,13015.23511546,200.0,3.9891676,200.0,200.0,3.91216,-0.07700759999999995,-1.9304177643476286
