2020/06/16 18:26:48 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:27:01 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:27:01 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:27:01 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:27:01 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:27:01 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:27:09 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:27:09 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:27:09 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:27:09 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:27:09 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:27:17 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:27:17 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:27:17 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:27:17 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:27:17 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:27:31 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:27:31 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:27:31 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:27:31 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:27:31 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:27:47 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:27:47 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:27:47 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:27:47 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:27:47 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:28:01 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:28:01 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:28:01 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:28:01 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:28:01 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:28:15 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:28:15 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:28:15 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:28:15 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:28:15 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:28:29 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:28:29 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:28:29 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:28:29 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:28:29 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:28:44 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:28:44 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:28:44 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:28:44 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:28:44 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:28:55 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:28:55 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:28:55 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:28:55 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:28:55 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:28:58 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:28:58 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:28:58 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:28:58 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:28:58 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:29:13 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:29:13 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:29:13 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
2020/06/16 18:29:13 callbacks,line: 129     INFO | Updating records ...
2020/06/16 18:29:13 callbacks,line: 131     INFO | Finish updating records
2020/06/16 18:29:26 callbacks,line: 116     INFO | Logger object created successfully..
2020/06/16 18:29:26 callbacks,line: 125     INFO | Start reading database
2020/06/16 18:29:26 callbacks,line: 128    DEBUG | Records: {'john': 55, 'tom': 66}
